id,dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AVzA3nhF3D1zeR_xBBLb,2017-06-19T15:00:24Z,2018-06-20T03:32:57Z,26543 Bouquet Canyon Rd,Fast Food Restaurant,Santa Clarita,US,us/ca/santaclarita/26543bouquetcanyonrd/-230200247,34.427775,-118.537468,Boston Market,91350,CA,"https://www.allmenus.com/ca/santa-clarita/152596-boston-market/menu/,https://foursquare.com/v/boston-market/4b0d91a4f964a5203e4b23e3/menu,https://www.trip.com/santa-clarita-ca/restaurants/boston-market,https://foursquare.com/v/boston-market/4b0d91a4f964a5203e4b23e3","http://www.bostonmarket.com/,http://www.bostonmarket.com"
AVwdmXEJByjofQCxqtTT,2015-11-06T10:24:16Z,2018-06-20T03:32:57Z,14480 Sherman Way,Fast Food Restaurant,Van Nuys,US,us/ca/vannuys/14480shermanway/-230200247,34.200962,-118.448431,Boston Market,91405,CA,"https://foursquare.com/v/boston-market/4aa6afc5f964a520a84a20e3,https://www.trip.com/van-nuys-ca/restaurants/boston-market,https://www.allmenus.com/ca/van-nuys/152598-boston-market/menu/,http://www.citysearch.com/profile/303080/van_nuys_ca/boston_market.html,https://foursquare.com/v/boston-market/4aa6afc5f964a520a84a20e3/menu,http://www.dexknows.com/business_profiles/boston_market_van_nuys-l901450888","http://www.bostonmarket.com,http://www.bostonmarket.com/,https://bostonmarket.com/location/van-nuys-ca-631/?utm_source=Yext&utm_medium=click&utm_campaign=listings&utm_content=631"
AVwcoG4lkufWRAb5xRqN,2016-03-26T04:54:04Z,2018-06-20T03:32:52Z,2712 N Scottsdale Rd,Fast Food,Scottsdale,US,us/az/scottsdale/2712nscottsdalerd/-230200247,33.478164,-111.926575,Boston Market,85257,AZ,"https://www.trip.com/scottsdale/restaurants/boston-market_2,https://foursquare.com/v/boston-market/4bf6dbb95ec320a161e685d3,https://www.allmenus.com/az/scottsdale/152541-boston-market/menu/,https://www.yellowpages.com/scottsdale-az/mip/boston-market-60854,https://foursquare.com/v/boston-market/4bf6dbb95ec320a161e685d3/menu","http://www.bostonmarket.com,https://www.bostonmarket.com/menu"
AVwdBaeUIN2L1WUfrZUd,2016-11-28T21:41:47Z,2018-06-20T03:31:38Z,427 N Hillside St,Fast Food Restaurants,Wichita,US,us/ks/wichita/427nhillsidest/-1016931398,37.692665,-97.299392,Taco Bueno,67214,KS,"https://www.yellowpages.com/wichita-ks/mip/taco-bueno-455692300,http://tripadvisor.com/Restaurant_Review-g39143-d834980-Reviews-Taco_Bueno-Wichita_Kansas.html,https://foursquare.com/v/taco-bueno/4c3b6dbae66fef3b8c7c8f9a/menu,https://www.allmenus.com/ks/wichita/252405-taco-bueno/menu/",http://www.tacobueno.com
AVwedGngkufWRAb5DEYq,2016-06-20T15:44:33Z,2018-06-20T03:31:22Z,4593 N Valdosta Rd,Fast Food Restaurants,Valdosta,US,us/ga/valdosta/4593nvaldostard/-891525969,30.893779,-83.319907,Subway,31602,GA,"https://www.yellowpages.com/valdosta-ga/mip/subway-789178,https://foursquare.com/v/subway/4e872349722e69455278f3a5,https://www.allmenus.com/ga/valdosta/56079-subway/menu/,http://www.citysearch.com/profile/627816610/valdosta_ga/subway.html",http://www.subway.com
AVwc4Rlr_7pvs4fzz7kG,2016-10-13T13:21:19Z,2018-06-20T03:31:21Z,1302 W Screven St,Sandwich Place and Fast Food Restaurant,Quitman,US,us/ga/quitman/1302wscrevenst/-891525969,30.785286,-83.572137,Subway,31643,GA,"https://www.yellowpages.com/quitman-ga/mip/subway-6257944,http://tripadvisor.com/Restaurant_Review-g35203-d4629966-Reviews-Subway-Quitman_Georgia.html,https://foursquare.com/v/subway/4e4cee2bbd413c4cc66d5163,http://www.citysearch.com/profile/3162029/quitman_ga/subway.html,https://www.allmenus.com/ga/quitman/56070-subway/menu/","http://www.subway.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJib4nuCxLM-V39128lLHE6d8gyfUeGkom1JhWmo7KVvPNW8ztlroySaxCQe_yKzivtHtPe8Os7RMybwSB7LjJ0YMQPxApA-n65vokgZP7u3dDK4nY511RDA5xirKCZj5-ka8gzG0VMJ49-DKuZBuX1LwcpVtxTAhOFWKg2vCfpP45F-1MFGh-GrKth0kVuyssfpfImODN-WwU2uDl-1gHiwgKDGrltDhhXd6tYehj_uKScmIoHYd8seolh2DtvfGtAKVFBO-LaUcqPsVLKqh797ezY8AK06qHu_QJjP680z-5JvQlzUuRywc2c83TN0TVjvc5wFsomoR-7a9IEsURXMa0bnrJBEuj&placement=listing_profile&cs_user=unknown&cs_session=de8b33ddc90506411f542a8a39887bc7a1becb92"
AVwcxcaAIN2L1WUfou8O,2015-07-22T19:12:02Z,2018-06-20T03:30:56Z,11430 Olive Blvd,"Fast Food Restaurant, Asian Restaurant, and Chinese Restaurant",Saint Louis,US,us/mo/saintlouis/11430oliveblvd/-991981113,38.671177,-90.433316,Pei Wei,63141,MO,"http://www.citysearch.com/profile/45164068/st_louis_mo/pei_wei.html,http://www.yellowpages.com/saint-louis-mo/mip/pei-wei-9496239,https://www.allmenus.com/mo/creve-coeur/54820-pei-wei/menu/,https://foursquare.com/v/pei-wei/4b380308f964a520404a25e3,http://www.citysearch.com/profile/45164068/creve_coeur_mo/pei_wei.html","http://www.peiwei.com,http://peiwei.com"
AVwdKbp9IN2L1WUfs2qi,2016-03-31T01:53:40Z,2018-06-20T03:30:32Z,4227 NW 23rd St,Sandwich Place and Fast Food Restaurant,Oklahoma City,US,us/ok/oklahomacity/4227nw23rdst/-891525969,35.493517,-97.596452,Subway,73107,OK,"https://foursquare.com/v/subway/4b589c86f964a520376128e3/menu,https://www.yellowpages.com/oklahoma-city-ok/mip/subway-7553116,http://tripadvisor.com/Restaurant_Review-g51560-d4249710-Reviews-Subway-Oklahoma_City_Oklahoma.html,https://www.allmenus.com/ok/oklahoma-city/144493-subway/menu/,http://oklahomacity.citysearch.com/profile/8290146/oklahoma_city_ok/subway.html,https://foursquare.com/v/subway/4b589c86f964a520376128e3","http://www.subway.com,http://subway.com"
AVwcfrlI_7pvs4fzvsH0,2016-10-18T03:45:41Z,2018-06-20T03:30:31Z,2812 W Fir St,Fast Food Restaurants,Perry,US,us/ok/perry/2812wfirst/-891525969,36.289447,-97.324031,Subway,73077,OK,"http://www.citysearch.com/profile/8281294/perry_ok/subway.html,https://www.allmenus.com/ok/perry/144458-subway/menu/,https://foursquare.com/v/subway/4e358b63ae60d86c3ac09741,http://tripadvisor.com/Restaurant_Review-g51583-d4519195-Reviews-Subway-Perry_Oklahoma.html,http://www.allmenus.com/ok/perry/144458-subway/menu/,https://www.yellowpages.com/perry-ok/mip/subway-466166351","http://www.subway.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJDlXqSPIDii2sQT-115Uq46usPTt6RkLshn-wJwIMd9hg1vhGTXLylL5PMOy4gjoejBfZz-dSrfT1GaxFzX3LTBvblNJXA3nnUaN-4iFamWELZ-gTCqitz0oSy8-TYUTx1hpvhGW2whin-tFLELacbk3xz8V5qgYcl0o_1QLZM9OCe_uTcNxGolfdJ-RnozzyUbrVcElyXJZ_VW3ZDJ_zC00nXeVd1mrHmFJs5aKV_gkgLvMDd6DvcegcP3-_mIDX1Bt3CkoHXlo7ZfCMkw4quu5p1BJniDJ8Ud_mv00QFkDgg2RsmOt_kJ2gILo3rZi0S7yIhXKcO0n7R_wzMiNLZ0DBvEF-F8or&placement=listing_profile&cs_user=unknown&cs_session=704056da956ee21e3dcf6a932d59a5b3b8f75684"
AVweOWDF_7pvs4fzBIFZ,2016-05-16T22:54:14Z,2018-06-20T03:30:31Z,301 S Louis Tittle Ave,Fast Food Restaurants,Mangum,US,us/ok/mangum/301slouistittleave/-891525969,34.871189,-99.502773,Subway,73554,OK,"https://www.allmenus.com/ok/mangum/144462-subway/menu/,https://foursquare.com/v/subway/4e4ddcf3bd4101d0d79d0449,http://tripadvisor.com/Restaurant_Review-g51487-d4659727-Reviews-Subway-Mangum_Oklahoma.html,https://www.tripadvisor.com/Restaurant_Review-g51487-d4659727-Reviews-Subway-Mangum_Oklahoma.html,http://www.yellowbook.com/profile/subway_1494733296.html,https://www.yellowpages.com/mangum-ok/mip/subway-457998674","http://subway.com,http://www.subway.com"
