"Number_of_Restaurants","City","State","Income_Mean","Income_Median"
1,"Edmond","OK",109995.66666666667,172842.33333333334
2,"Costa Mesa","CA",109889.73333333334,172005
1,"Cary","NC",109838.14285714286,149078.92857142858
1,"Maynard","MA",109797,300000
3,"Cumming","GA",109073.23076923077,188154.23076923078
1,"Hanover","MD",108511,98963
1,"Alexandria","VA",108140.59375,149468.9375
1,"Germantown","TN",108095.4,151309
1,"Hercules","CA",108030,300000
1,"Angleton","TX",108019,300000
1,"Townsend","MA",107414,95132
3,"Columbia","MD",107126.75,145654.5
1,"Hicksville","NY",106777.8,209837.4
1,"Woodbridge","VA",106563.6875,198687.25
1,"Savage","MN",106253.5,191337.75
1,"Morrisville","NC",106140,98872
1,"Valencia","CA",105715,170748.66666666666
1,"Tallmadge","OH",105576,181283.5
1,"Walpole","MA",105385.5,190948.5
1,"Eagle River","AK",105052,101289
1,"Gambrills","MD",104516,93034
1,"Fair Oaks","CA",104319.75,141350
2,"Lake Orion","MI",104105.66666666667,153944
2,"Spring","TX",103716.875,142590.25
2,"Woodland Hills","CA",103284.5,83455.75
1,"Castle Rock","CO",102775.33333333333,94497
2,"Collierville","TN",102503.5,136100.75
1,"Santee","CA",102443.66666666667,224036.66666666666
1,"Norwalk","CT",102360.375,112487.75
1,"Uniondale","NY",102260.33333333333,225739
1,"Pacific","MO",102151,79385
2,"Bear","DE",102027,95612
1,"Daly City","CA",101587.57142857143,152009.2857142857
5,"Gilbert","AZ",101024.57142857143,145477.14285714287
7,"San Francisco","CA",100856.92207792206,109217.58441558441
1,"Coram","NY",100813,96378
1,"Canton","MI",100790.71428571429,127134
1,"West Chester","PA",100704.9,95209.9
1,"San Jose","CA",100633.87671232877,139497.61643835617
2,"Manassas","VA",100282.83333333333,121785.25
1,"Destin","FL",100225.66666666667,141970
2,"Carlsbad","CA",100168.71428571429,123259.57142857143
1,"Bridge City","TX",99902,100384
1,"Laurel","MD",99771.25,162924.25
1,"Roswell","GA",99487.75,91091
2,"Chapel Hill","NC",99427.42857142857,109558.71428571429
3,"Huntington Beach","CA",99406.05555555556,112902.72222222222
1,"Silver Spring","MD",99404.52,133481.96
1,"Elkridge","MD",99126.75,93645.75
3,"Dana Point","CA",99085,86530
1,"League City","TX",98822.33333333333,86547.33333333333
1,"Baldwin","NY",98643,235466.66666666666
1,"Albany","CA",98633,300000
1,"Chalfont","PA",98509,88863
1,"Wylie","TX",98277.5,142235.75
1,"Encino","CA",97549.4,128601
1,"Bellaire","TX",97232,162023
2,"Castro Valley","CA",96963.75,188303.75
1,"Los Alamitos","CA",96732,120644.66666666667
1,"Bixby","OK",96586,81741
1,"Diamond Bar","CA",96565,85127.5
1,"Johnstown","CO",96140,85333
1,"Lake Oswego","OR",95924.25,80517.25
1,"Fenton","MO",95576.33333333333,143026
1,"Pismo Beach","CA",95542,94742
1,"Granada Hills","CA",95490,196103.66666666666
2,"Roseville","CA",95488.63636363637,118634.27272727272
1,"Woburn","MA",95390,246367
1,"South San Francisco","CA",95084.2,171852.8
1,"Missouri City","TX",94731.5,84875
1,"Towson","MD",94547.66666666667,145849
2,"Newport Beach","CA",94533,86169
1,"Torrance","CA",94377.8947368421,135338.15789473685
1,"Chesterton","IN",94306.5,200293.5
1,"Hobe Sound","FL",94255.25,182279.5
2,"Parker","CO",94175.33333333333,159754.5
2,"Mount Ephraim","NJ",94124,300000
1,"Woodstock","GA",94119.6,130407.4
1,"Irvine","CA",94079.85714285714,116929.28571428571
1,"Cave Creek","AZ",94018.4,122769.8
2,"Canyon Country","CA",93745,120129
2,"Plymouth","MI",93479,210958
1,"Polo","IL",93308,80414
1,"Frederick","MD",93294.25,133635.41666666666
1,"North Babylon","NY",93256,300000
1,"Boulder","CO",93236.54545454546,114068.45454545454
1,"Amityville","NY",93164.66666666667,142273.66666666666
1,"Westerville","OH",93012.2,168924.6
1,"Glen Cove","NY",92934.5,173039
1,"Lomita","CA",92814.66666666667,80528
1,"Santa Clarita","CA",92791,86748
4,"Littleton","CO",92676.94444444444,119737.61111111111
1,"Bettendorf","IA",92486,208722
1,"Thousand Oaks","CA",92375.4,116625.2
1,"Dickinson","ND",92355.33333333333,150854.66666666666
1,"Camarillo","CA",92316,81028
1,"Osseo","MN",91833,76739
1,"Hendersonville","TN",91811.5,115554.33333333333
1,"Riverhead","NY",91750.5,180238
1,"Bishop","CA",91625,84997
1,"Glenview","IL",91600.5,69075.75
1,"Santa Barbara","CA",91477.5,136623.85714285713
2,"Ankeny","IA",90891,83104.66666666667
1,"Bay Shore","NY",90761.75,75221.5
1,"Attleboro","MA",90517,219289.66666666666
1,"Yelm","WA",90482,88809
1,"Plymouth","MA",90388.28571428571,112241.42857142857
1,"Wadsworth","OH",90371,78255
1,"Battleboro","NC",90341,69967
1,"White Lake","MI",89740.5,184671.5
1,"Benicia","CA",89735.66666666667,148597
1,"Alameda","CA",89726.375,72782.25
3,"Buford","GA",89717,78265
1,"Waltham","MA",89713.16666666667,109348.66666666667
2,"Auburn","CA",89314.66666666667,146092
1,"Rutherford","NJ",89306,300000
2,"Chino","CA",89300.91666666667,138879.5
5,"Chandler","AZ",89289.14285714286,118475
2,"Mooresville","NC",89245,78923.66666666667
1,"Independence","OH",89219,86317
4,"Acworth","GA",89157,120652.8
3,"Pleasant Hill","CA",89125.5,113652.5
1,"Concord","CA",88914.76923076923,162947.92307692306
1,"Chatsworth","CA",88913.25,80503.75
9,"New York","NY",88873.6275862069,100340.43448275862
1,"Plainfield","IN",88826,300000
2,"Altadena","CA",88514,181586.5
1,"Westbury","NY",88471.2,111460
1,"Huron","OH",88419,72600
1,"Macomb","MI",88382.4,117556
1,"Chaska","MN",88375.66666666667,78138.66666666667
1,"Bentonville","AR",88334.33333333333,154319.66666666666
1,"Pea Ridge","AR",88152.5,183875.5
1,"Lindenhurst","NY",88108.2,161688.8
1,"Oswego","IL",88053.66666666667,81699
2,"Louisville","OH",88044,300000
1,"Midland","TX",87921.69230769231,137734.76923076922
1,"North Royalton","OH",87793.5,72418.5
3,"Northridge","CA",87760.5,104353.83333333333
1,"Bethel Park","PA",87627.6,120850.8
1,"East Meadow","NY",87598,173168.5
1,"West Covina","CA",87499.3,124947
1,"Capitola","CA",87396,65357
1,"Johnson Creek","WI",87126,76191
1,"Belmont","CA",86987,63839.5
1,"Kennesaw","GA",86927,187683.5
7,"Marietta","GA",86857.88461538461,91905.19230769231
2,"Howell","MI",86721.66666666667,111807
1,"Rowland Heights","CA",86717,79179.33333333333
1,"Flagstaff","AZ",86617,100245
1,"Somerville","MA",86481,120159.11111111111
1,"Evans","GA",86398.8,169877.6
2,"Palm Desert","CA",86266,134782
3,"Corona","CA",86253.71428571429,107735.14285714286
1,"San Rafael","CA",86090.14285714286,76441.57142857143
7,"Scottsdale","AZ",86029.4761904762,98693.28571428571
1,"Upland","CA",85846.83333333333,142180.16666666666
1,"Webster","MA",85824,68440
1,"San Dimas","CA",85523.8,115112.6
1,"Colchester","VT",85489,174819.5
1,"Windsor","CO",85313.33333333333,77080
10,"Seattle","WA",85278.70769230768,105755.8
2,"Hartland","MI",85260,78442
1,"Seal Beach","CA",85255,182658
3,"Burleson","TX",85204.83333333333,112442
1,"Sebastopol","CA",85159.33333333333,141788
1,"Rockwall","TX",85112.25,248446.25
6,"San Diego","CA",85061.71844660194,110044.73786407767
1,"Sebastian","FL",84858.66666666667,91185.66666666667
1,"Richardson","TX",84850.11111111111,146801.88888888888
2,"Henderson","NV",84789.8,116706.04
1,"Medina","OH",84772.8,121841
1,"Oak Creek","WI",84579.75,74752.75
1,"Plover","WI",84348,74616
2,"Elko","NV",84232.25,132248.25
2,"Royal Oak","MI",83927,70870.2
1,"Covina","CA",83829.57142857143,136411.14285714287
2,"Summerville","SC",83706.375,100735.125
1,"Derry","NH",83690,178407.5
1,"Converse","TX",83680.5,80760.5
1,"Niles","IL",83646.5,134105.75
1,"Winter Springs","FL",83643,181655
1,"Estero","FL",83515.66666666667,68674.33333333333
2,"Fredericksburg","VA",83512.375,68639.5
2,"Downey","CA",83078.1875,124512.5
1,"Greensboro","GA",83026,214846.5
2,"Renton","WA",83002.23076923077,104815.23076923077
1,"Yulee","FL",82905,70640
2,"Arcadia","CA",82843.6,111776
1,"Gilroy","CA",82760.6,66575
5,"Puyallup","WA",82667.85714285714,130196.14285714286
1,"Carrollton","TX",82515.36363636363,128510.81818181818
2,"Montgomery","IL",82441.5,182826.5
1,"Roosevelt","NY",82338,78373.5
1,"Pasadena","CA",82274.25,108683.5
4,"Catonsville","MD",82212.5,60861.5
1,"Clarkston","MI",82094,111391.6
1,"Hurst","TX",81920.33333333333,219420.33333333334
1,"Fountain Hills","AZ",81844.5,71744.25
3,"Yonkers","NY",81780.42857142857,132785.7142857143
1,"Claymont","DE",81708,74601
1,"Chardon","OH",81605.5,184353.25
1,"Franklin","WI",81402.5,63965
1,"La Habra","CA",81280.71428571429,107664
1,"Rothschild","WI",81263,80209
1,"Williamstown","NJ",81062.6,165739
2,"West Hills","CA",81006.4,108682.6
2,"Willow Grove","PA",80833.33333333333,146970.66666666666
1,"Perry","GA",80802,64217
1,"Pickerington","OH",80657,300000
1,"East Aurora","NY",80647.5,66735
2,"Manchester","CT",80609.42857142857,104157
1,"Lodi","CA",80606.125,90228.125
3,"Hixson","TN",80588.33333333333,136061
1,"Whitmore Lake","MI",80383.5,65641.5
2,"Hood River","OR",80334,300000
1,"Homewood","IL",80326,77630
3,"Austin","TX",80293.5875,100559.7875
1,"Rohnert Park","CA",80212.2,156059.2
2,"Hyattsville","MD",80181.88888888889,72398.77777777778
1,"Owasso","OK",80072.33333333333,142601
5,"Cambridge","MA",80046.08333333333,74773.66666666667
2,"Fairbanks","AK",79965.25,177972.125
1,"Sedona","AZ",79936.5,182377
1,"North Richland Hills","TX",79921,71247.75
2,"Glen Burnie","MD",79881.75,71798.875
1,"Williamsburg","VA",79716.6,107556.2
1,"Bedford","TX",79670.66666666667,141465.66666666666
1,"Zachary","LA",79647,186618
3,"Fullerton","CA",79418.54545454546,174472.45454545456
1,"Springboro","OH",79409,70709
2,"Chico","CA",79356.4,107537.7
1,"Simpsonville","SC",79264.16666666667,68037.66666666667
2,"Davison","MI",79261.25,178294.75
1,"Sunland","CA",79207,169213
1,"Denver","PA",79187.66666666667,145238
3,"Metairie","LA",79158.78571428571,100333.14285714286
2,"Kernersville","NC",79150.8,155046.6
1,"Breese","IL",79136.5,70390
3,"Boston","MA",79133.11764705883,59771.882352941175
1,"Brunswick","OH",78949,73287.25
3,"Salt Lake City","UT",78847.57142857143,105993
1,"Ottawa","OH",78795,300000
1,"Crestview","FL",78789.5,179915
2,"North Canton","OH",78496.66666666667,139689.66666666666
5,"Glendale","CA",78447.125,92637.6875
2,"Sierra Vista","AZ",78433.2,102620.6
1,"Union","MO",78320,68999
2,"Cabot","AR",78277,68846
3,"Dallas","GA",78098.75,69145.25
1,"Farmington","MI",78006.5,65786.5
1,"Duarte","CA",77921.25,71209
1,"Clermont","FL",77772.33333333333,68765
2,"Virginia Beach","VA",77764.625,114946.275
4,"El Cajon","CA",77735.25,101859.91666666667
1,"Portage","MI",77675,148520.8
4,"Chula Vista","CA",77633.41176470589,69186.70588235294
1,"Grapevine","TX",77607,66852.33333333333
1,"Whitehouse","OH",77530,300000
1,"Morton","IL",77526.5,66794
1,"Bedford","OH",77500.25,119477.75
1,"Jersey City","NJ",77297.13043478261,66250.43478260869
1,"Brandon","FL",77236,91728.22222222222
1,"Brigham City","UT",77187,300000
1,"Taunton","MA",76927.25,120489.75
3,"Oregon City","OR",76906.4,67771.8
2,"Dickson","TN",76643.33333333333,144695
8,"Atlanta","GA",76480.66129032256,74091.5
1,"Casper","WY",76464,65316.5
2,"Conroe","TX",76234.375,67136.25
1,"Arroyo Grande","CA",76230.66666666667,139652.66666666666
2,"Berwyn","IL",76189,164177.6
1,"Port Washington","WI",76134,66464
1,"Mitchell","SD",76106,187867
1,"Fairless Hills","PA",76055,69920.5
1,"Central Islip","NY",76052,132559.33333333334
1,"Sullivan","IL",75736,174892.5
1,"Lowell","MI",75628.66666666667,65081
2,"Alhambra","CA",75486.22222222222,59440.11111111111
2,"Burnsville","MN",75411,176169.5
2,"West Sacramento","CA",75391,300000
1,"Glendale Heights","IL",75298,70031.2
1,"Plattsmouth","NE",75158,300000
1,"Ringgold","GA",75157,64915
1,"Watertown","SD",74880,170235
2,"Canoga Park","CA",74876.71428571429,94398.42857142857
1,"Oakland","CA",74826.14035087719,87993.35087719298
1,"Whitinsville","MA",74814,63671
1,"Hayward","CA",74699,116343.15384615384
1,"Arvada","CO",74636.66666666667,80163
1,"Winter Park","FL",74571.83333333333,62394.333333333336
1,"Auburn","WA",74413.5,110401.5
1,"Molalla","OR",74394,300000
4,"Meridian","ID",74342,63002.666666666664
1,"Bethalto","IL",74164.5,64077
14,"Portland","OR",74163.734375,92130.328125
1,"Oregon","OH",74102.5,177038.5
1,"Warwick","RI",74073.77777777778,88943.55555555556
1,"Reseda","CA",74054.5,60568.5
2,"Columbia City","IN",74034.33333333333,221935
3,"Fairfield","CA",73944.88888888889,118154.55555555556
2,"Santa Rosa","CA",73909.22222222222,76981.94444444444
3,"Long Beach","CA",73900.72727272728,88051.25
5,"Santa Ana","CA",73419.91304347826,102493.95652173914
1,"Traverse City","MI",73362.125,121565.75
1,"Goodland","KS",73328,58237
1,"Franklin","IN",73304.25,121599
1,"Lewes","DE",73248,52030.5
2,"Brea","CA",73237.33333333333,60939.333333333336
3,"Charlottesville","VA",73104.25,77336.41666666667
1,"Lindstrom","MN",73083,63158
1,"Newton","IL",72948,65787.5
1,"Harrison","OH",72820,65267
2,"Boynton Beach","FL",72778.15384615384,101273
2,"Murfreesboro","TN",72714.45454545454,102936.90909090909
2,"Newnan","GA",72561.66666666667,62475.666666666664
1,"Davis","CA",72537.8,56501.6
2,"Bellflower","CA",72411.44444444444,85877.88888888889
1,"Anaheim","CA",72411,124430.61904761905
1,"Cambridge","MD",72262.5,63463
2,"Vallejo","CA",72252.92857142857,123516.5
2,"Lexington","SC",72236.6,61543.6
1,"Charles Town","WV",72206.5,171954.5
3,"Christiansburg","VA",72170,57901
2,"Cody","WY",72151,300000
2,"Rochester","MN",72102.92857142857,138477.64285714287
2,"Colorado Springs","CO",72100.88636363637,97020.36363636363
2,"Ebensburg","PA",72095,65467
3,"Brighton","CO",72041.75,117138.5
1,"Ocean Springs","MS",72026,50427.333333333336
1,"Frankenmuth","MI",71957,49788
14,"Minneapolis","MN",71931.66037735852,93715.71698113208
1,"Fremont","NE",71926.75,62094
1,"Englewood","CO",71827.16666666667,60064
3,"Weatherford","TX",71695,121254.25
3,"La Puente","CA",71689.9,113085.7
1,"Holland","MI",71680.11111111111,91216.11111111111
1,"Highland","CA",71572.25,119868
1,"Mary Esther","FL",71541,56613
1,"Peru","IL",71536,300000
1,"Middletown","CT",71423,66684.5
1,"Nipomo","CA",71421,67881
1,"La Grange","TX",71400,67048
2,"Napoleon","OH",71100.5,58876
2,"Schenectady","NY",71010.33333333333,118136.8
2,"Appleton","WI",70830.27272727272,62299.72727272727
1,"Soda Springs","ID",70815,62716
1,"Ventura","CA",70730.44444444444,84752.44444444444
1,"Camp Hill","PA",70717,119219.5
1,"Neoga","IL",70684,300000
2,"Flowery Branch","GA",70659,60688
4,"Raleigh","NC",70615.6052631579,95246.65789473684
1,"Bozeman","MT",70605.6,147731.2
4,"Dallas","TX",70597.34166666666,89818.65833333334
1,"Wauchula","FL",70546,171140
1,"Aurora","OH",70392.5,60425
1,"Westminster","CA",70310.33333333333,56618.5
1,"Bolingbrook","IL",70249.2,100323.8
1,"Brawley","CA",70244.66666666667,50504.666666666664
1,"Tullahoma","TN",70218.66666666667,219868.33333333334
2,"Fairborn","OH",70179.33333333333,59868.333333333336
1,"Red Oak","TX",70083,57921
1,"Ponchatoula","LA",70050.5,60132
1,"Troutdale","OR",70002,60392
1,"Kahului","HI",69885.5,63404.5
1,"New Castle","DE",69764,54003.166666666664
2,"Arlington","TX",69631.29166666667,88018.33333333333
10,"Charlotte","NC",69630.29230769232,92478.2
1,"Pendleton","OR",69619.33333333333,136164.33333333334
5,"Saint Paul","MN",69522.03225806452,76027.67741935483
1,"De Pere","WI",69504.33333333333,59096.666666666664
3,"Van Nuys","CA",69274.23529411765,69099.64705882352
2,"Lemon Grove","CA",69245,59324.333333333336
1,"Peekskill","NY",69229.33333333333,59531.666666666664
1,"San Diego","TX",69156,44935
1,"Winnsboro","TX",69147,46224
1,"Gordonsville","VA",69097,59867
1,"Perryville","MO",68998,300000
1,"Fortuna","CA",68994,59364
2,"Ogden","UT",68991.28571428571,113885.35714285714
2,"Vancouver","WA",68988.48148148147,101635.37037037036
1,"Oberlin","OH",68957,66986
1,"Astoria","NY",68954.66666666667,56106.5
2,"Grand Prairie","TX",68954.42857142857,97715.85714285714
2,"Conyers","GA",68942.6,102507
1,"Watsonville","CA",68920.55555555556,51787.666666666664
1,"King City","CA",68913,55485.666666666664
3,"Bryant","AR",68876.33333333333,140892.83333333334
2,"Manchester","NH",68842.09090909091,98779
1,"Garden Grove","CA",68785.66666666667,87657.2
1,"Boulder City","NV",68758,51254
1,"Orange Park","FL",68730.44444444444,86134.66666666667
1,"Spring Grove","PA",68660,61389.333333333336
5,"Denver","CO",68615.37681159421,80527.49275362318
6,"Glendale","AZ",68602.5,92191.10714285714
1,"Coldwater","MI",68443.66666666667,57175
1,"Danvers","MA",68430,300000
1,"Bellingham","WA",68421.18181818182,78474.90909090909
1,"Gonzales","LA",68358.33333333333,145628
1,"Frankfort","NY",68347,59384.5
1,"Aiken","SC",68318,117242.71428571429
1,"Snyder","TX",68305,52899
13,"Houston","TX",68297.5,92485.22767857143
1,"Santa Maria","CA",68236.55555555556,107414.66666666667
2,"Palmetto","FL",68230.16666666667,61181.166666666664
1,"Centreville","MI",68004,63795
1,"Santa Fe","NM",67874.57142857143,50775.92857142857
4,"Surprise","AZ",67853.33333333333,89782.46666666666
1,"Cambridge","MN",67820.33333333333,56905.333333333336
1,"Ririe","ID",67786,300000
1,"Carmichael","CA",67756.14285714286,83037.85714285714
1,"Findlay","OH",67736.6,56851.8
1,"Gretna","LA",67605,54542.8
18,"Brooklyn","NY",67557.96819787986,67770.9964664311
1,"Keene","NH",67534.5,65350.5
1,"Aliquippa","PA",67456,57618.333333333336
1,"Xenia","OH",67377,106127.5
5,"Columbia","SC",67323.45454545454,98181
2,"Trenton","MI",67179,55950
1,"Riverside","CA",67173.48387096774,95226.64516129032
4,"Sioux Falls","SD",67099.73333333334,107628.6
1,"Kenner","LA",67074.57142857143,85283.14285714286
5,"Green Bay","WI",67049,71378.52631578948
1,"Kingston","NY",67048.14285714286,90492.14285714286
1,"Romulus","MI",67031.25,58546
1,"Bourbonnais","IL",67005.66666666667,128585.33333333333
1,"Norway","MI",66752,55484
1,"Lenoir City","TN",66717,173659
1,"Pooler","GA",66620,57712
1,"Bellevue","NE",66586.57142857143,123008.57142857143
1,"Waterford","MI",66545.41666666667,75379.08333333333
2,"Aurora","CO",66509.5,90935.5625
1,"Sylvania","OH",66501,56332
1,"Charleston","SC",66367.75,52645.8125
5,"Tacoma","WA",66359.9375,78267
1,"Round Lake","IL",66354,55029
1,"Pierre","SD",66347,53142
1,"Southaven","MS",66262.66666666667,58224.333333333336
1,"Mableton","GA",66201,54831.5
1,"Wendell","NC",66191.33333333333,130787.66666666667
1,"Prince Frederick","MD",66185,51363
1,"Marrero","LA",66134.5,112362.5
1,"Alden","NY",66095,58163
1,"Conway","AR",66072,85812.42857142857
1,"Post Falls","ID",65992,132635.66666666666
3,"Blountville","TN",65982.5,174503.5
1,"Maryland Heights","MO",65965,57637
1,"Walla Walla","WA",65899.2,106949
2,"Florence","SC",65885.75,110299.875
1,"Norfolk","NE",65803.2,104002
4,"Roanoke","VA",65699.14285714286,129359.78571428571
1,"Delaware","OH",65694.66666666667,92637.66666666667
1,"Livingston","MT",65692,51007.5
1,"Van","TX",65657.5,58227.5
1,"Neenah","WI",65554.75,59653.75
1,"Corpus Christi","TX",65552,85253.25
1,"Eureka","CA",65540.71428571429,52462.42857142857
1,"Monahans","TX",65499,51862
1,"Hawthorne","CA",65463,86717.57142857143
1,"Evanston","WY",65367,191693.5
1,"North Tonawanda","NY",65080.4,58056.6
1,"Wise","VA",65000,53595
1,"Rutland","VT",64958.5,53099
2,"Tallahassee","FL",64958.333333333336,107240.20833333333
2,"Lake Havasu City","AZ",64940.5,119914.75
1,"Irmo","SC",64925.5,173918
2,"Navarre","FL",64919.333333333336,51458
1,"Florence","KY",64905,55404.333333333336
1,"Elmhurst","NY",64898.555555555555,51433.666666666664
1,"Amarillo","TX",64852.76,92547.04
1,"Beaufort","SC",64788.333333333336,97061.5
1,"Cordova","TN",64779,57107.833333333336
2,"Florissant","MO",64770.333333333336,83059.88888888889
2,"Moline","IL",64750.5,55948
2,"Lafayette","LA",64713.181818181816,87265.63636363637
1,"Richmond","CA",64711.555555555555,109158.33333333333
1,"Gunnison","CO",64691.666666666664,55386.333333333336
5,"Tempe","AZ",64657.5,56220
4,"Sacramento","CA",64649.954545454544,90192.5
1,"Oceanside","CA",64538.07692307692,53834.307692307695
1,"Jefferson City","MO",64469.142857142855,122318.42857142857
1,"Perry","OK",64436,54623
1,"Auburn","MI",64412,56146
1,"Festus","MO",64364,59038
2,"Bend","OR",64329.42857142857,87141.42857142857
1,"Belleville","IL",64304.42857142857,156349.2857142857
4,"Hamilton","OH",64241.25,93117.41666666667
1,"Salina","KS",64218.166666666664,54889
1,"Ithaca","NY",64144.71428571428,42080
1,"Temple","TX",64124.333333333336,96229.5
1,"Lihue","HI",64096.5,185719
4,"Rapid City","SD",64086,79828.375
8,"Mesa","AZ",64056.51063829788,78104.76595744681
2,"Saint Clair Shores","MI",64045.22222222222,79758.77777777778
4,"Carson","CA",63984,54105
7,"Chicago","IL",63975.973154362415,65355.20469798658
2,"Chestertown","MD",63869,51707
2,"Boise","ID",63788.88888888889,90399.27777777778
1,"Melrose Park","IL",63780.333333333336,131452
3,"Albuquerque","NM",63773.38983050847,97945.81355932204
1,"Palos Hills","IL",63753,52189
3,"Peoria","AZ",63725.23529411765,80397.05882352941
1,"Bartlesville","OK",63671.6,91699.6
1,"Grand Junction","CO",63617.72727272727,95007.18181818182
1,"Nashville","NC",63609,43159
1,"Chippewa Falls","WI",63583,165257.5
4,"Fort Worth","TX",63485.194444444445,92542.77777777778
1,"Cuero","TX",63475,36585
1,"Baltimore","MD",63442.964539007095,63328.29787234042
1,"Silverdale","WA",63316.2,94870.8
1,"Swanton","OH",63256,59013
4,"Louisville","KY",63227.920454545456,96017.30681818182
1,"Pittsburgh","PA",63196.054945054944,80147.14285714286
5,"Douglasville","GA",63184.125,144916.75
6,"Cincinnati","OH",63121.58823529412,71330.90588235293
1,"West Warwick","RI",63108.666666666664,132122.33333333334
1,"Haughton","LA",63104,49545
1,"South Saint Paul","MN",63002.666666666664,57470
1,"Cheyenne","WY",62977,120491.375
2,"Aurora","IL",62934.92857142857,107149.28571428571
30,"Las Vegas","NV",62934.26923076924,86190.17692307693
1,"Norcross","GA",62884.857142857145,57619.71428571428
1,"Ionia","MI",62883,64252
1,"Little Elm","TX",62843,42947
1,"Rome","NY",62765.5,53830.166666666664
1,"Rensselaer","IN",62755,49319
1,"Normal","IL",62741,50714.2
1,"Granite City","IL",62740.25,58774.75
5,"Columbia","MO",62679.36363636363,66662
2,"Jonesborough","TN",62676.5,53516
2,"Corning","NY",62665.333333333336,47694.333333333336
1,"Warsaw","IN",62591.4,108319
1,"Richmond","VA",62566,74915.01851851853
1,"Monaca","PA",62537.5,50520
1,"West Lafayette","IN",62453.333333333336,49690.333333333336
1,"Blackfoot","ID",62447,131174.33333333334
1,"Marshall","MN",62428.666666666664,53807
2,"Little Rock","AR",62356.045454545456,61708.181818181816
1,"Sinton","TX",62356,60406.5
4,"Azusa","CA",62324.4,99367.2
1,"Gardena","CA",62308.857142857145,82591.85714285714
1,"Fountain Inn","SC",62308,49983
2,"Springdale","AR",62270.666666666664,49615
2,"Brookings","SD",62258.666666666664,49725
1,"Redmond","OR",62181.333333333336,50891.666666666664
1,"Whitefish","MT",62123,46963.5
1,"Midland","MI",62101,84731
1,"Monroe","MI",62084.444444444445,106643
1,"Galt","CA",62077,52014.333333333336
14,"Grand Rapids","MI",62063.32352941177,81931.35294117648
2,"Atascadero","CA",62049,50174
1,"Gladstone","OR",62031,55936
2,"Seaside","CA",61873.5,49378.25
1,"Janesville","WI",61841.11111111111,131844.44444444444
1,"Claremore","OK",61837,56168.5
2,"Alexandria","LA",61826.42857142857,70764.28571428571
1,"Del Rio","TX",61804.333333333336,44168.333333333336
3,"Baldwin Park","CA",61803.666666666664,135612.5
1,"Clearwater","FL",61774.2,47896.05
10,"Los Angeles","CA",61724.55701754386,73435.83333333333
3,"Port Allen","LA",61655,44543
1,"La Quinta","CA",61644,48166.5
2,"Allendale","MI",61596.666666666664,54368.333333333336
8,"Knoxville","TN",61573.34375,62480.03125
1,"Jasper","IN",61539,51787.5
1,"Yucaipa","CA",61501,93050
1,"Columbia","PA",61482,51135
13,"Miami","FL",61431.58333333334,70615.475
1,"Tonawanda","NY",61399.4,146482
